model,dataset,rmse,mae,r2,curve_rmse_mean,curve_rmse_std,curve_mae_mean,curve_mae_std
random_forest,train,0.017721849822524716,0.01029810666672716,0.988576670341833,0.014182653402234992,0.010626208336193653,0.01029810666672716,0.007806774230755933
random_forest,val,0.03926843035456087,0.023924459406273062,0.9462849510362503,0.0324542316965472,0.022107294440926687,0.023924459406273062,0.016950681782199318
random_forest,test,0.035388966714589125,0.02173751376825374,0.9519623924897224,0.028983587562250765,0.020305925665865126,0.021737513768253735,0.016519122181380942
gradient_boosting,train,0.006247737818282869,0.0037714655200775824,0.998580222795925,0.005252516063865255,0.0033830907237080467,0.003771465520077582,0.0024879039931103475
gradient_boosting,val,0.04062144564314494,0.023918880621954998,0.9425196184468707,0.033357062966946946,0.02318206626593315,0.023918880621954998,0.017551482576000962
gradient_boosting,test,0.034535904592207546,0.021630772380243943,0.9542504026012684,0.02931966823720752,0.018250637261809415,0.021630772380243943,0.014651215691067386
svm,train,0.05056432696009278,0.026559662473859852,0.9070042571586703,0.034307436986622204,0.03714499869883041,0.02655966247385985,0.029081578998530738
svm,val,0.07971106070159598,0.04478166851182617,0.7786670519652129,0.058950541111731855,0.05365339598578575,0.044781668511826175,0.04346520738138082
svm,test,0.11130568741985733,0.049752888756039775,0.5247957488423858,0.06386439585197305,0.09116081940433331,0.04975288875603979,0.07746515106772624
neural_network,train,0.03457399986769227,0.019164701899052606,0.9565215695322434,0.023124595734370545,0.02570242282301645,0.01916470189905261,0.024237295351036425
neural_network,val,0.0838698614826849,0.055843180851159246,0.7549691629514972,0.06399981197021085,0.05420496040864165,0.055843180851159246,0.05167424407728136
neural_network,test,0.10415217813504474,0.062339614095677405,0.5839147520853067,0.07000597760341887,0.07711575267131683,0.062339614095677405,0.0753677215713583
