sample_idx,rmse,mae,r2
0,0.018440075621241243,0.01616415257920757,0.9230578223422219
1,0.030788772280942865,0.027738508137565506,0.9585162058724973
2,0.05279227476677983,0.04118281262610882,0.8440531967493508
3,0.043277881057979264,0.03532166260759171,0.930871864438391
4,0.03721012740705714,0.02885376549544958,0.8899409112126426
5,0.23511691450718614,0.15345397618029505,-0.5263087137837237
6,0.06649702707243388,0.05420466863563605,0.9135824962510005
7,0.03552436789921687,0.029714594193365418,0.9406789331558615
8,0.08417210912379908,0.07987536806791722,0.6249348859651622
9,0.07343468402086198,0.05343070853899215,0.7650358216095314
10,0.14007342709377707,0.124202770213111,0.18731465195605002
11,0.05959459686058998,0.047546929521928814,0.8543879425688846
12,0.035789280092929386,0.02743949737072119,0.6997771585608314
13,0.030336085512857897,0.02142604545065023,0.9568445048992373
14,0.08578469797842614,0.06606487086780423,0.6697675609885722
15,0.062031301918993635,0.048310056144441754,0.8788945604311037
16,0.09327154927804503,0.06540881099362354,0.5122825810298377
17,0.07300489089783398,0.05768992046233335,0.6573772915180875
18,0.06187486016240659,0.04879940211836038,0.7388500523201444
19,0.06093298122519219,0.050205823433715185,0.7332876751418738
20,0.023114989804447265,0.016426124631579525,0.7829898248677041
21,0.14946779349384823,0.10392941798758595,0.09422795320458743
22,0.11265459461855963,0.09421349232402638,0.4464475801884611
23,0.12771986545257363,0.09612235060360363,-0.026814108988974628
24,0.030960716186452495,0.026830316249530865,0.9114707321614772
25,0.05356660918749007,0.04402543770069349,0.7674713988780124
26,0.05550810907297246,0.04562865061774726,0.8875133260470632
27,0.10046245648759351,0.0855332212015,0.05511042162698587
28,0.018269715046695414,0.015286517981471681,0.9393267604259014
29,0.06386458746891252,0.05616239484505823,0.6123099834227256
30,0.02165772806815825,0.015497507749186772,0.9763221944700555
31,0.08141465526867712,0.06915022650949201,0.8314983422049088
32,0.06731056350431014,0.05777304860963737,0.816983051989679
33,0.05724029737716547,0.04551553573680647,0.904926990487268
34,0.040078405032057944,0.028766654534795065,0.9083103600547193
35,0.04427730550870853,0.03607121692825442,0.8028845228840265
36,0.07096634118701585,0.0660118375440328,0.6910300469715551
37,0.060548570136103326,0.044864891981333574,0.8316940535504693
38,0.056933826531573146,0.0489544678811476,0.8005505822670909
39,0.05241686178179866,0.03353716869268401,0.839198259399615
40,0.08015561522704684,0.06217695553901198,0.7883749370192574
41,0.039832218018215154,0.032506709196058844,0.9260924230766301
42,0.11182162937521987,0.09287995472081892,0.21764224357427964
43,0.18164370420942882,0.15446669657113657,0.13828656565156616
44,0.05784313707295094,0.050530712145925284,0.8371461746749226
45,0.06110811866664022,0.05195667371968183,0.9146271431230587
46,0.13236268786638908,0.08381867622443222,0.09770536170176591
47,0.10380672659219402,0.0910751662023609,-0.23348900021900243
48,0.0834119139258303,0.06733893618498903,0.6201930059055729
49,0.08460404768359381,0.06464631404368079,0.41038963634970826
50,0.09592597957457054,0.06618998128554043,0.5369880709648158
51,0.05608613657907082,0.04527355595063139,0.8977470464080378
52,0.06061732437421445,0.05374895804904062,0.6223472164302959
53,0.08578034553288488,0.06443027461051481,0.6308770814031379
54,0.04158033200286396,0.034112393598565535,0.9337068351191844
55,0.09780212350369988,0.06499947269378473,0.40744438636317304
56,0.055560630752550445,0.04731375592505943,0.8931855714873715
57,0.10318035397055865,0.09576581558720011,0.5366971039098709
58,0.0931860853976172,0.07644794077179297,0.26721918834573477
59,0.1436526749804819,0.10230902744712089,0.5210841320637489
60,0.04746916668897,0.03563430463101835,0.9326206162632789
61,0.028657463802834987,0.02315395231108597,0.9712957962711569
62,0.06357788799891756,0.05493128329484952,0.8580098216986898
63,0.10173315294575859,0.07955141041124104,0.6926468840262752
64,0.14811302195222698,0.12221217700611506,0.10366958183706354
65,0.03295298670013556,0.029418519204766392,0.9230387691212343
66,0.03713671645475989,0.023778358279988088,0.9034477227884672
67,0.06003566946557547,0.047536419846988684,0.21340332536950657
68,0.08075985151910772,0.06333845255601306,0.3832320401137961
69,0.09974364861894787,0.07241034691782228,0.38467759610605023
70,0.07171601729629178,0.05692068945827129,0.6499726395322851
71,0.0690693030939045,0.05043277267311716,0.7891282448993281
72,0.08057357096398504,0.07641713594839111,0.6810781782169448
73,0.03942544344812342,0.033993712537258115,0.9319307117093508
74,0.08385303287241659,0.05629471049249549,0.724078892422833
75,0.03407916243387154,0.02649863160392826,0.9550867305965459
76,0.1037018603869165,0.07607504166206239,0.598152421043996
77,0.1386185672419334,0.0892875591947203,-0.24390070431979605
78,0.07907634344178019,0.06198912802702484,0.42973148204974954
79,0.0599105851645643,0.0516890739484441,0.7425435409124703
80,0.055064939614780185,0.047491121672975076,0.9135095017057402
81,0.06724567689289383,0.062158069749848686,0.8858143880800156
82,0.08113725399115806,0.06180577829973923,0.6286393832433659
83,0.09967757309116534,0.06936926976118475,0.4893255084994218
